MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Azimuth,Angle,Direction,Fall,cone direction,cone probability
1755324293500,0,4.16,-0.27,8.51,4.0,-7.3125,-1.9375,-45.0625,209.5625,-175.0625,0.0,0.0,-13.952602125564827,16211402.982284788,12.13559511679152,73.99931560597335,360,9.476212323497188,0,0
1755324293640,0,2.97,-1.0,9.1,-8.5625,1.625,7.125,-27.1875,125.875,-107.875,0.0,0.0,-14.016567779914448,16211402.982284788,12.18798086568819,73.99931560597335,360,9.624494791935835,0,0
1755324293728,0,4.62,-2.07,7.8,6.625,8.25,-1.0,-25.25,126.5,-101.6875,0.0,0.0,-13.760702832818545,16211402.982284788,11.28815528787274,73.99931560597335,360,9.29888703017732,0,0
1755324293840,0,4.8,-0.96,9.26,5.375,2.0,-0.875,-25.0625,-1921.9375,-105.0625,0.0,0.0,-14.624222132033701,16211402.982284788,-180.7471075868331,73.99931560597335,360,9.967522259819638,0,0
1755324293964,0,5.11,-1.43,8.56,-1.3125,-1.5,-2.375,-25.0625,124.5625,-101.5625,0.0,0.0,-13.824669652016874,16211402.982284788,11.376259798641755,73.99931560597335,360,10.071275986686096,0,0
1755324294073,0,4.5,-0.49,8.27,-1.9375,-0.75,0.9375,-24.1875,123.375,-102.75,0.0,0.0,-13.121013283913992,16211402.982284788,11.092078848923052,73.99931560597335,360,9.427778105152878,0,0
1755324294220,0,3.53,-0.51,8.05,12.125,-3.875,1.1875,-23.5,125.5,-101.5625,0.0,0.0,-13.472847341247974,16211402.982284788,10.605872312862417,73.99931560597335,360,9.213017963729367,0,0
1755324294326,0,4.74,-1.07,8.24,-6.25,-5.875,16.25,-23.25,125.875,-101.875,0.0,0.0,-13.536815907798108,16211402.982284788,10.46498798069456,73.99931560597335,360,9.028726377513054,0,0
1755324294445,0,6.04,-2.15,7.97,-19.9375,7.875,18.25,-24.1875,128.25,-97.75,0.0,0.0,-13.472847341247974,16211402.982284788,11.01109517691016,73.99931560597335,360,10.552274636304725,0,0
1755324294568,0,3.98,-3.68,7.59,-28.4375,0.6875,27.1875,-23.5625,127.25,-99.0625,0.0,0.0,-13.280939311673762,16211402.982284788,10.490469295084694,73.99931560597335,360,9.326891229128815,0,0
1755324294675,0,4.2,-2.49,7.57,5.9375,3.5625,-0.4375,-20.0,121.0,-97.0,0.0,0.0,-13.152998683633646,16211402.982284788,9.38551826004307,73.99931560597335,360,9.008051953669007,0,0
