MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object Distance,Azimuth,Angle,Direction,Fall,,19.28144708
1.74332E+12,0,9.5354,-0.5194,1.1368,0.247,-0.171,0.3876,57,57,86,0,0,0,16211370.731569242,0,33.53604698430745,73.99940598223328,360,9.616961253951269,,
1.74332E+12,0,9.5354,-0.5292,1.1368,0,0.2394,-0.3002,64,64,89,0,0,0,16211370.731569242,0,35.71995431229031,73.99940598223328,360,9.617495518,,
1.74332E+12,0,9.5354,-0.5194,1.1368,-0.0456,0.0418,-0.5852,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.616961253951269,,
1.74332E+12,0,9.525599999999999,-0.5194,1.1466,0.1254,-0.608,-0.6764,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.608408987964657,,
1.74332E+12,0,9.525599999999999,-0.7252,1.1662,0.4826,0.7296,-0.665,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.624084000049043,,
1.74332E+12,0,9.525599999999999,-0.7252,1.1662,0.1444,0.5434,0.912,52,52,92,0,0,0,16211370.731569242,0,29.475889003245747,73.99940598223328,360,9.624084000049043,,
1.74332E+12,0,9.525599999999999,-0.5096,1.127,-0.6764,-0.5548,-0.5662,52,52,92,0,0,0,16211370.731569242,0,29.475889003245747,73.99940598223328,360,9.605564873,,
1.74332E+12,0,9.525599999999999,-0.5096,1.1563999999999999,-0.2356,0.0836,-0.6764,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.609058667736397,,
1.74332E+12,0,9.5354,-0.5194,1.1563999999999999,-0.1178,0.1444,0.0076,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.619297816368926,,
1.74332E+12,0,9.525599999999999,-0.5194,1.1466,0.703,0.1786,-0.8664,66,66,90,0,0,0,16211370.731569242,0,36.25383773744479,73.99940598223328,360,9.608408987964657,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1368,-0.9538,-0.2166,0.4788,61,61,95,0,0,0,16211370.731569242,0,32.704733577001846,73.99940598223328,360,9.607779256415084,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1368,0.4104,-0.3914,0.3382,61,61,95,0,0,0,16211370.731569242,0,32.704733577001846,73.99940598223328,360,9.607779256415084,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1466,-0.7296,-0.9956,0.9652,61,61,92,0,0,0,16211370.731569242,0,33.54610858390779,73.99940598223328,360,9.608943727590457,,
1.74332E+12,0,9.5354,-0.5194,1.1368,-0.9918,-0.5966,0.9804,61,61,92,0,0,0,16211370.731569242,0,33.54610858390779,73.99940598223328,360,9.616961253951269,,
1.74332E+12,0,9.5354,-0.5194,1.1368,-0.6308,0.2394,0.342,55,55,94,0,0,0,16211370.731569242,0,30.33217509629994,73.99940598223328,360,9.616961253951269,,
1.74332E+12,0,9.525599999999999,-0.5194,1.1368,-0.0228,0.3534,-0.0798,55,55,94,0,0,0,16211370.731569242,0,30.33217509629994,73.99940598223328,360,9.607244451974768,,
1.74332E+12,0,9.5354,-0.5194,1.1466,-0.4294,-0.3116,-0.0532,55,55,94,0,0,0,16211370.731569242,0,30.33217509629994,73.99940598223328,360,9.618124613457656,,
1.74332E+12,0,9.5354,-0.5194,1.1466,-0.6802,-0.3268,0.152,63,63,92,0,0,0,16211370.731569242,0,34.402664854976436,73.99940598223328,360,9.618124613457656,,
1.74332E+12,0,9.525599999999999,-0.5194,1.1368,-0.2014,-0.437,0.2356,63,63,92,0,0,0,16211370.731569242,0,34.402664854976436,73.99940598223328,360,9.607244451974768,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1466,0.7638,0.0228,0.817,56,56,91,0,0,0,16211370.731569242,0,31.60750225,73.99940598223328,360,9.608943727590457,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1466,-0.095,-0.2774,0.3344,56,56,91,0,0,0,16211370.731569242,0,31.60750225,73.99940598223328,360,9.608943727590457,,
1.74332E+12,0,9.5354,-0.5292,1.1466,-0.456,-1.0526,0.5168,56,56,91,0,0,0,16211370.731569242,0,31.60750225,73.99940598223328,360,9.618658813,,
1.74332E+12,0,9.5354,-0.5292,1.1466,-0.2812,-0.3952,0.9044,60,60,98,0,0,0,16211370.731569242,0,31.476839349583983,73.99940598223328,360,9.618658813,,
1.74332E+12,0,9.525599999999999,-0.5194,1.1368,-0.7752,-0.2204,-0.532,60,60,98,0,0,0,16211370.731569242,0,31.476839349583983,73.99940598223328,360,9.607244451974768,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1466,-1.1362,-0.4636,0.684,66,66,91,0,0,0,16211370.731569242,0,35.95242800009929,73.99940598223328,360,9.608943727590457,,
1.74332E+12,0,9.525599999999999,-0.5292,1.1466,-1.672,-0.969,0.1862,66,66,91,0,0,0,16211370.731569242,0,35.95242800009929,73.99940598223328,360,9.608943727590457,,
1.74332E+12,0,9.5354,-0.5194,1.1368,0.3876,-0.2622,-0.798,66,66,91,0,0,0,16211370.731569242,0,35.95242800009929,73.99940598223328,360,9.616961253951269,,
1.74332E+12,0,9.5354,-0.5194,1.1368,0.0608,-0.3382,-0.3648,71,71,92,0,0,0,16211370.731569242,0,37.65877418863583,73.99940598223328,360,9.616961253951269,,
