MilliTime,Phase,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LAT,LNG,ALT,Distance,Object Distance,Azimuth,Angle,Direction,Fall
1743314669046,0,-10.2214,1.0191999999999999,-0.7545999999999999,-5.9812,3.5986,8.4398,-131.0,-131.0,96.0,0.0,0.0,0.0,16211370.731569242,0.0,-53.76512809420712,73.99940598223328,360,10.299767364363138
1743314669543,0,-10.074399999999999,0.9506,-0.7448,-2.565,1.9722,-0.456,-135.0,-135.0,92.0,0.0,0.0,0.0,16211370.731569242,0.0,-55.72629446612523,73.99940598223328,360,10.146521707462119
1743314669609,0,-10.094,1.0191999999999999,-0.784,-2.299,2.7208,-1.8126,-135.0,-135.0,92.0,0.0,0.0,0.0,16211370.731569242,0.0,-55.72629446612523,73.99940598223328,360,10.175571759857034
1743314669671,0,-10.2508,1.1172,-0.6859999999999999,1.368,0.0608,0.8018,-139.0,-139.0,93.0,0.0,0.0,0.0,16211370.731569242,0.0,-56.21491468465357,73.99940598223328,360,10.334294000075671
1743314669766,0,-10.0352,1.127,-0.6664,0.7182,-1.0374,2.4814,-131.0,-131.0,94.0,0.0,0.0,0.0,16211370.731569242,0.0,-54.33839497623599,73.99940598223328,360,10.120249848694447
